"school","sex","age","address","famsize","parent_status","mother_edu","father_edu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","weekday_alcohol_consume","weekend_alcohol_consume","health","absences","first_period_grade","second_period_grade","final_grade","subject","avg_grade","performance","absence_level","parent_edu"
"GP","Female",18,"Urban","Large","Apart","4","4","at_home","teacher","course","mother",2,"Medium","0","yes","no","no","no","yes","yes","no","no","4","3","4","1","1","3",6,5,6,6,"Math",5.67,"Low","Moderate",5
"GP","Female",17,"Urban","Large","Together","1","1","at_home","other","course","father",1,"Medium","0","no","yes","no","no","no","yes","yes","no","5","3","3","1","1","3",4,5,5,6,"Math",5.33,"Low","Low",2
"GP","Female",15,"Urban","Small","Together","1","1","at_home","other","other","mother",1,"Medium","3","yes","no","yes","no","yes","yes","yes","no","4","3","2","2","3","3",10,7,8,10,"Math",8.33,"Medium","Moderate",2
"GP","Female",15,"Urban","Large","Together","4","2","health","services","home","mother",1,"High","0","no","yes","yes","yes","yes","yes","yes","yes","3","2","2","1","1","5",2,15,14,15,"Math",14.67,"High","Low",4
"GP","Female",16,"Urban","Large","Together","3","3","other","other","home","father",1,"Medium","0","no","yes","yes","no","yes","yes","no","no","4","3","2","1","2","5",4,6,10,10,"Math",8.67,"Medium","Low",4
"GP","Male",16,"Urban","Small","Together","4","3","services","other","reputation","mother",1,"Medium","0","no","yes","yes","yes","yes","yes","yes","no","5","4","2","1","2","5",10,15,15,15,"Math",15,"High","Moderate",4.5
"GP","Male",16,"Urban","Small","Together","2","2","other","other","home","mother",1,"Medium","0","no","no","no","no","yes","yes","yes","no","4","4","4","1","1","3",0,12,12,11,"Math",11.67,"Medium","None",3
"GP","Female",17,"Urban","Large","Apart","4","4","other","teacher","home","mother",2,"Medium","0","yes","yes","no","no","yes","yes","no","no","4","1","4","1","1","1",6,6,5,6,"Math",5.67,"Low","Moderate",5
"GP","Male",15,"Urban","Small","Apart","3","2","services","other","home","mother",1,"Medium","0","no","yes","yes","no","yes","yes","yes","no","4","2","2","1","1","1",0,16,18,19,"Math",17.67,"High","None",3.5
"GP","Male",15,"Urban","Large","Together","3","4","other","other","home","mother",1,"Medium","0","no","yes","yes","yes","yes","yes","yes","no","5","5","1","1","1","5",0,14,15,15,"Math",14.67,"High","None",4.5
"GP","Female",15,"Urban","Large","Together","4","4","teacher","health","reputation","mother",1,"Medium","0","no","yes","yes","no","yes","yes","yes","no","3","3","3","1","2","2",0,10,8,9,"Math",9,"Low","None",5
"GP","Female",15,"Urban","Large","Together","2","1","services","other","reputation","father",3,"High","0","no","yes","no","yes","yes","yes","yes","no","5","2","2","1","1","4",4,10,12,12,"Math",11.33,"Medium","Low",2.5
"GP","Male",15,"Urban","Small","Together","4","4","health","services","course","father",1,"Low","0","no","yes","yes","yes","yes","yes","yes","no","4","3","3","1","3","5",2,14,14,14,"Math",14,"Medium","Low",5
"GP","Male",15,"Urban","Large","Together","4","3","teacher","other","course","mother",2,"Medium","0","no","yes","yes","no","yes","yes","yes","no","5","4","3","1","2","3",2,10,10,11,"Math",10.33,"Medium","Low",4.5
"GP","Male",15,"Urban","Large","Apart","2","2","other","other","home","other",1,"High","0","no","yes","no","no","yes","yes","yes","yes","4","5","2","1","1","3",0,14,16,16,"Math",15.33,"High","None",3
"GP","Female",16,"Urban","Large","Together","4","4","health","other","home","mother",1,"Low","0","no","yes","no","no","yes","yes","yes","no","4","4","4","1","2","2",4,14,14,14,"Math",14,"Medium","Low",5
"GP","Female",16,"Urban","Large","Together","4","4","services","services","reputation","mother",1,"High","0","no","yes","yes","yes","yes","yes","yes","no","3","2","3","1","2","2",6,13,14,14,"Math",13.67,"Medium","Moderate",5
"GP","Female",16,"Urban","Large","Together","3","3","other","other","reputation","mother",3,"Medium","0","yes","yes","no","yes","yes","yes","no","no","5","3","2","1","1","4",4,8,10,10,"Math",9.33,"Medium","Low",4
